"id","name"
"1","ALFA-ROMEO"
"2","ASTON MARTIN"
"3","AUDI"
"4","BENTLEY"
"5","BMW"
"6","CHEVROLET"
"7","CHRYSLER"
"8","CITROEN"
"9","DACIA"
"10","DAIHATSU"
"11","DANGEL"
"12","DIJEAU CARROSSIER"
"13","DODGE"
"14","FIAT"
"15","FORD"
"16","HONDA"
"17","HYUNDAI"
"18","INFINITI"
"19","JAGUAR"
"20","JEEP"
"21","KIA"
"22","LADA"
"23","LAMBORGHINI"
"24","LANCIA"
"25","LAND ROVER"
"26","LEXUS"
"27","LTI VEHICLES"
"28","MAYBACH"
"29","MAZDA"
"30","MERCEDES AMG"
"31","MERCEDES-BENZ"
"32","MINI"
"33","MITSUBISHI"
"34","NISSAN"
"35","OPEL"
"36","PEUGEOT"
"37","PGO"
"38","PORSCHE"
"39","QUATTRO"
"40","RENAULT"
"41","SAAB"
"42","SEAT"
"43","SKODA"
"44","SMART"
"45","SSANGYONG"
"46","SUBARU"
"47","SUZUKI"
"48","TOYOTA"
"49","VOLKSWAGEN"
"50","VOLVO"
