"id","country_code","postCode","point","note","zone1_id","zone2_id","names","slugs","languages","mains"
"1","FR","01000","POINT(5.22550 46.20483)","42333","22","23","Bourg-en-Bresse","bourg-en-bresse","fr","0"
"2","FR","01000","POINT(5.18994 46.20244)","5187","22","23","Saint-Denis-lès-Bourg","saint-denis-les-bourg","fr","0"
"3","FR","01090","POINT(4.75884 46.08075)","3786","22","23","Montmerle-sur-Saône","montmerle-sur-saone","fr","0"
"4","FR","01090","POINT(4.77970 46.10869)","1208","22","23","Guéreins","guereins","fr","0"
"5","FR","01090","POINT(4.80869 46.07366)","1153","22","23","Francheleins","francheleins","fr","0"
"6","FR","01090","POINT(4.79657 46.09641)","1074","22","23","Montceaux","montceaux","fr","0"
"7","FR","01090","POINT(4.78628 46.11914)","550","22","23","Genouilleux","genouilleux","fr","0"
"8","FR","01090","POINT(4.78248 46.06351)","390","22","23","Lurcy","lurcy","fr","0"
"9","FR","01100","POINT(5.65584 46.25749)","24247","22","23","Oyonnax","oyonnax","fr","0"
"10","FR","01100","POINT(5.62807 46.24172)","3677","22","23","Bellignat","bellignat","fr","0"
"11","FR","01100","POINT(5.67720 46.29274)","3607","22","23","Arbent","arbent","fr","0"
"12","FR","01100","POINT(5.61005 46.20872)","1575","22","23","Martignat","martignat","fr","0"
"13","FR","01100","POINT(5.65818 46.20739)","1366","22","23","Apremont","apremont-fr-01100","fr","0"
"14","FR","01100","POINT(5.60736 46.22147)","1115","22","23","Groissiat","groissiat","fr","0"
"15","FR","01100","POINT(5.61716 46.25573)","901","22","23","Géovreisset","geovreisset","fr","0"
"16","FR","01100","POINT(5.62831 46.27170)","302","22","23","Veyziat","veyziat","fr","0"
"17","FR","01110","POINT(5.60255 45.97661)","4259","22","23","Hauteville-Lompnes","hauteville-lompnes","fr","0"
"18","FR","01110","POINT(5.61253 45.95405)","902","22","23","Cormaranche-en-Bugey","cormaranche-en-bugey","fr","0"
"19","FR","01110","POINT(5.60615 46.06079)","529","22","23","Brénod","brenod","fr","0"
"20","FR","01110","POINT(5.59713 46.01727)","451","22","23","Champdor","champdor","fr","0"
"21","FR","01110","POINT(5.59698 45.89358)","314","22","23","Thézillieu","thezillieu","fr","0"
"22","FR","01110","POINT(5.50856 46.00335)","298","22","23","Aranc","aranc","fr","0"
"23","FR","01110","POINT(5.57491 46.03636)","208","22","23","Corcelles","corcelles-fr-01110","fr","0"
"24","FR","01110","POINT(5.49864 46.03035)","110","22","23","Corlier","corlier","fr","0"
"25","FR","01110","POINT(5.53389 45.90220)","77","22","23","Hostiaz","hostiaz","fr","0"
"26","FR","01110","POINT(5.57184 45.87409)","35","22","23","Prémillieu","premillieu","fr","0"
"27","FR","01120","POINT(5.05587 45.85129)","6690","22","23","Montluel","montluel","fr","0"
"28","FR","01120","POINT(5.07529 45.85074)","3979","22","23","Dagneux","dagneux","fr","0"
"29","FR","01120","POINT(5.03557 45.84162)","2814","22","23","La Boisse","la-boisse","fr","0"
"30","FR","01120","POINT(5.02141 45.81449)","1642","22","23","Thil","thil-fr-01120","fr","0"
"31","FR","01120","POINT(5.06386 45.82628)","1500","22","23","Niévroz","nievroz","fr","0"
