id,country_code,postCode,point,note,zone1_id,zone2_id,names,slugs,languages,mains
37663,AT,7000,POINT(16.51807 47.84588),0,NULL,NULL,Eisenstadt,eisenstadt,at,0
37664,AT,7011,POINT(16.54232 47.78149),0,NULL,NULL,Siegendorf,siegendorf,at,0
37665,AT,7091,POINT(16.77756 47.86504),0,NULL,NULL,Breitenbrunn am Neusiedler See,breitenbrunn-am-neusiedler-see,at,0
37666,AT,7082,POINT(16.64179 47.89763),0,NULL,NULL,Donnerskirchen,donnerskirchen,at,0
37667,AT,7051,POINT(16.48159 47.83219),0,NULL,NULL,Großhöflein,groszhoeflein,at,0
37668,AT,7053,POINT(16.44450 47.88073),0,NULL,NULL,Hornstein,hornstein,at,0
37669,AT,7013,POINT(16.54000 47.75547),0,NULL,NULL,Klingenbach,klingenbach,at,0
37670,AT,7072,POINT(16.66846 47.75509),0,NULL,NULL,Mörbisch am See,moerbisch-am-see,at,0
37671,AT,7052,POINT(16.46121 47.83790),0,NULL,NULL,Müllendorf,muellendorf-at-7052,at,0
37672,AT,2491,POINT(16.37666 47.86744),0,NULL,NULL,Neufeld an der Leitha,neufeld-an-der-leitha,at,0
37673,AT,7063,POINT(16.66353 47.83153),0,NULL,NULL,Oggau,oggau,at,0
37674,AT,7064,POINT(16.61851 47.82968),0,NULL,NULL,Oslip,oslip,at,0
37675,AT,7083,POINT(16.69513 47.91354),0,NULL,NULL,Purbach am Neusiedler See,purbach-am-neusiedler-see,at,0
37676,AT,7081,POINT(16.62385 47.85026),0,NULL,NULL,Schützen am Gebirge,schuetzen-am-gebirge,at,0
37677,AT,7062,POINT(16.60731 47.80403),0,NULL,NULL,St. Margarethen im Burgenland,st-margarethen-im-burgenland,at,0
37678,AT,7035,POINT(16.41534 47.83591),0,NULL,NULL,Steinbrunn,steinbrunn,at,0
37679,AT,7061,POINT(16.55738 47.81409),0,NULL,NULL,Trausdorf an der Wulka,trausdorf-an-der-wulka,at,0
37680,AT,7041,POINT(16.50102 47.79597),0,NULL,NULL,Wulkaprodersdorf,wulkaprodersdorf,at,0
37681,AT,7034,POINT(16.40861 47.81509),0,NULL,NULL,Zillingtal,zillingtal,at,0
37682,AT,7521,POINT(16.45979 47.10791),0,NULL,NULL,Eberau,eberau,at,0
37683,AT,7542,POINT(16.25645 47.06845),0,NULL,NULL,Gerersdorf bei Güssing,gerersdorf-bei-guessing,at,0
37684,AT,7540,POINT(16.32394 47.05938),0,NULL,NULL,Güssing,guessing,at,0
37685,AT,7543,POINT(16.20596 47.07392),0,NULL,NULL,Kukmirn,kukmirn,at,0
37686,AT,7534,POINT(16.20400 47.19060),0,NULL,NULL,Olbendorf,olbendorf,at,0
37687,AT,7533,POINT(16.16406 47.18300),0,NULL,NULL,Ollersdorf im Burgenland,ollersdorf-im-burgenland,at,0
37688,AT,7535,POINT(16.26922 47.12756),0,NULL,NULL,St. Michael im Burgenland,st-michael-im-burgenland,at,0
37689,AT,7551,POINT(16.16579 47.16022),0,NULL,NULL,Stegersbach,stegersbach,at,0
37690,AT,7552,POINT(16.13166 47.20392),0,NULL,NULL,Stinatz,stinatz,at,0
37691,AT,7522,POINT(16.41417 47.04450),0,NULL,NULL,Strem,strem,at,0
37692,AT,7572,POINT(16.10646 47.08754),0,NULL,NULL,Deutsch Kaltenbrunn,deutsch-kaltenbrunn,at,0
37693,AT,7564,POINT(16.14552 47.02474),0,NULL,NULL,Dobersdorf,dobersdorf-at-7564,at,0
37694,AT,7562,POINT(16.20177 47.00771),0,NULL,NULL,Eltendorf,eltendorf,at,0
37695,AT,7561,POINT(16.25846 46.98849),0,NULL,NULL,Heiligenkreuz im Lafnitztal,heiligenkreuz-im-lafnitztal,at,0
37696,AT,8380,POINT(16.14060 46.93716),0,NULL,NULL,Jennersdorf,jennersdorf,at,0
37697,AT,7563,POINT(16.17042 47.00376),0,NULL,NULL,Königsdorf,koenigsdorf-at-7563,at,0
37698,AT,8384,POINT(16.07308 46.88170),0,NULL,NULL,Minihof-Liebau,minihof-liebau,at,0
37699,AT,8382,POINT(16.22784 46.94746),0,NULL,NULL,Mogersdorf,mogersdorf,at,0
37700,AT,8385,POINT(16.03043 46.86842),0,NULL,NULL,Neuhaus am Klausenbach,neuhaus-am-klausenbach,at,0
37701,AT,7571,POINT(16.12009 47.05114),0,NULL,NULL,Rudersdorf,rudersdorf-at-7571,at,0
37702,AT,8383,POINT(16.13351 46.92100),0,NULL,NULL,St. Martin an der Raab,st-martin-an-der-raab,at,0
37703,AT,7202,POINT(16.32511 47.77464),0,NULL,NULL,Bad Sauerbrunn,bad-sauerbrunn,at,0
37704,AT,7021,POINT(16.48794 47.74555),0,NULL,NULL,Draßburg,draszburg,at,0
37705,AT,7212,POINT(16.34498 47.71148),0,NULL,NULL,Forchtenstein,forchtenstein,at,0
37706,AT,7024,POINT(16.45502 47.78717),0,NULL,NULL,Hirm,hirm,at,0
37707,AT,7031,POINT(16.41517 47.78621),0,NULL,NULL,Krensdorf,krensdorf,at,0
37708,AT,7221,POINT(16.41163 47.71480),0,NULL,NULL,Marz,marz,at,0
37709,AT,7210,POINT(16.39779 47.73690),0,NULL,NULL,Mattersburg,mattersburg,at,0
37710,AT,7201,POINT(16.29764 47.79587),0,NULL,NULL,Neudörfl,neudoerfl,at,0
37711,AT,7033,POINT(16.37597 47.80246),0,NULL,NULL,Pöttsching,poettsching,at,0
37712,AT,7222,POINT(16.42457 47.71044),0,NULL,NULL,Rohrbach bei Mattersburg,rohrbach-bei-mattersburg,at,0
37713,AT,7022,POINT(16.51491 47.71400),0,NULL,NULL,Schattendorf,schattendorf,at,0
37714,AT,7223,POINT(16.37929 47.64945),0,NULL,NULL,Sieggraben,sieggraben,at,0
37715,AT,7032,POINT(16.39420 47.77518),0,NULL,NULL,Sigleß,siglesz,at,0
37716,AT,7203,POINT(16.33800 47.73942),0,NULL,NULL,Wiesen,wiesen-at-7203,at,0
37717,AT,7023,POINT(16.45199 47.76210),0,NULL,NULL,Zemendorf,zemendorf,at,0
37718,AT,7163,POINT(17.03267 47.77535),0,NULL,NULL,Andau,andau,at,0
37719,AT,7143,POINT(16.83060 47.74377),0,NULL,NULL,Apetlon,apetlon,at,0
37720,AT,2423,POINT(17.10920 48.01017),0,NULL,NULL,Deutsch Jahrndorf,deutsch-jahrndorf,at,0
37721,AT,7132,POINT(16.92396 47.83535),0,NULL,NULL,Frauenkirchen,frauenkirchen,at,0
37722,AT,2474,POINT(16.98350 48.01503),0,NULL,NULL,Gattendorf,gattendorf-at-2474,at,0
37723,AT,7122,POINT(16.91078 47.89696),0,NULL,NULL,Gols,gols,at,0
37724,AT,7131,POINT(16.97388 47.87146),0,NULL,NULL,Halbturn,halbturn,at,0
37725,AT,7142,POINT(16.80032 47.76188),0,NULL,NULL,Illmitz,illmitz,at,0
37726,AT,7093,POINT(16.79706 47.96087),0,NULL,NULL,Jois,jois,at,0
37727,AT,2421,POINT(17.06595 48.09133),0,NULL,NULL,Kittsee,kittsee,at,0
37728,AT,7123,POINT(16.94163 47.88448),0,NULL,NULL,Mönchhof,moenchhof,at,0
37729,AT,2475,POINT(16.92989 48.01518),0,NULL,NULL,Neudorf,neudorf-at-2475,at,0
37730,AT,7100,POINT(16.84316 47.94863),0,NULL,NULL,Neusiedl am See,neusiedl-am-see,at,0
37731,AT,2425,POINT(17.06885 47.94043),0,NULL,NULL,Nickelsdorf,nickelsdorf,at,0
37732,AT,2422,POINT(17.03357 48.04848),0,NULL,NULL,Pama,pama,at,0
37733,AT,7152,POINT(16.90601 47.69978),0,NULL,NULL,Pamhagen,pamhagen,at,0
37734,AT,7111,POINT(16.86052 48.00011),0,NULL,NULL,Parndorf,parndorf,at,0
37735,AT,7141,POINT(16.83709 47.85437),0,NULL,NULL,Podersdorf am See,podersdorf-am-see,at,0
37736,AT,2473,POINT(16.94811 48.04487),0,NULL,NULL,Potzneusiedl,potzneusiedl,at,0
37737,AT,7161,POINT(16.94183 47.78406),0,NULL,NULL,St. Andrä am Zicksee,st-andrae-am-zicksee,at,0
37738,AT,7162,POINT(16.98475 47.76512),0,NULL,NULL,Tadten,tadten,at,0
