"id","country_code","postCode","point","note","zone1_id","zone2_id","names","slugs","languages","mains"
"91872","CH","5000","POINT(8.04374 47.39285)","0",NULL,NULL,"Aarau","aarau-ch-5000","de","0"
"91873","CH","5023","POINT(8.08127 47.41368)","0",NULL,NULL,"Biberstein","biberstein-ch-5023","de","0"
"91874","CH","5033","POINT(8.07550 47.38853)","0",NULL,NULL,"Buchs","buchs-ch-5033","de","0"
"91875","CH","5025","POINT(8.04930 47.44364)","0",NULL,NULL,"Asp","asp-ch-5025","de","0"
"91876","CH","5026","POINT(8.05361 47.45414)","0",NULL,NULL,"Densbüren","densbueren-ch-5026","de","0"
"91877","CH","5025","POINT(8.04674 47.43648)","0",NULL,NULL,"Herzberg","herzberg-ch-5025","de","0"
"91878","CH","5025","POINT(8.05846 47.43357)","0",NULL,NULL,"Staffelegg","staffelegg-ch-5025","de","0"
"91879","CH","5722","POINT(8.09738 47.35913)","0",NULL,NULL,"Gränichen","graenichen-ch-5722","de","0"
"91880","CH","5722","POINT(8.08125 47.33876)","0",NULL,NULL,"Rütihof bei Gränichen","ruetihof-bei-graenichen-ch-5722","de","0"
"91881","CH","5042","POINT(8.05280 47.31882)","0",NULL,NULL,"Hirschthal","hirschthal-ch-5042","de","0"
"91882","CH","5024","POINT(8.04806 47.41450)","0",NULL,NULL,"Küttigen","kuettigen-ch-5024","de","0"
"91883","CH","5022","POINT(8.04411 47.40174)","0",NULL,NULL,"Rombach","rombach-ch-5022","de","0"
"91884","CH","5037","POINT(8.05450 47.33524)","0",NULL,NULL,"Muhen","muhen-ch-5037","de","0"
"91885","CH","5037","POINT(8.05638 47.32842)","0",NULL,NULL,"Obermuhen","obermuhen-ch-5037","de","0"
"91886","CH","5036","POINT(8.04674 47.35647)","0",NULL,NULL,"Oberentfelden","oberentfelden-ch-5036","de","0"
"91887","CH","5032","POINT(7.29450 46.68103)","0",NULL,NULL,"Rohr","rohr-ch-5032","de","0"
"91888","CH","5034","POINT(8.07882 47.37508)","0",NULL,NULL,"Suhr","suhr-ch-5034","de","0"
"91889","CH","5035","POINT(8.04446 47.36736)","0",NULL,NULL,"Unterentfelden","unterentfelden-ch-5035","de","0"
"91890","CH","5400","POINT(8.30760 47.47352)","0",NULL,NULL,"Baden","baden-ch-5400","de","0"
"91891","CH","5405","POINT(8.28604 47.45357)","0",NULL,NULL,"Dättwil","daettwil-ch-5405","de","0"
"91892","CH","5406","POINT(8.26976 47.43806)","0",NULL,NULL,"Rütihof","ruetihof-ch-5406","de","0"
"91893","CH","5454","POINT(8.34585 47.39058)","0",NULL,NULL,"Bellikon","bellikon-ch-5454","de","0"
"91894","CH","8962","POINT(8.39205 47.39199)","0",NULL,NULL,"Baltenschwil","baltenschwil-ch-8962","de","0"
"91895","CH","8962","POINT(8.38534 47.38927)","0",NULL,NULL,"Bergdietikon","bergdietikon-ch-8962","de","0"
"91896","CH","5413","POINT(8.24954 47.46067)","0",NULL,NULL,"Birmenstorf","birmenstorf-ch-5413","de","0"
"91897","CH","5420","POINT(8.34057 47.49539)","0",NULL,NULL,"Ehrendingen","ehrendingen-ch-5420","de","0"
"91898","CH","5408","POINT(8.31789 47.47849)","0",NULL,NULL,"Ennetbaden","ennetbaden-ch-5408","de","0"
"91899","CH","5442","POINT(8.29285 47.43629)","0",NULL,NULL,"Fislisbach","fislisbach-ch-5442","de","0"
"91900","CH","5423","POINT(8.32653 47.50297)","0",NULL,NULL,"Freienwil","freienwil-ch-5423","de","0"
"91901","CH","5412","POINT(8.23959 47.48140)","0",NULL,NULL,"Gebenstorf","gebenstorf-ch-5412","de","0"
"91902","CH","5412","POINT(8.22965 47.47885)","0",NULL,NULL,"Reuss","reuss-ch-5412","de","0"
"91903","CH","8956","POINT(8.34927 47.43363)","0",NULL,NULL,"Killwangen","killwangen-ch-8956","de","0"
"91904","CH","5444","POINT(8.33029 47.38947)","0",NULL,NULL,"Künten","kuenten-ch-5444","de","0"
"91905","CH","5444","POINT(8.32293 47.38160)","0",NULL,NULL,"Sulz bei Künten","sulz-bei-kuenten-ch-5444","de","0"
"91906","CH","5506","POINT(8.22822 47.41093)","0",NULL,NULL,"Mägenwil","maegenwil-ch-5506","de","0"
"91907","CH","5507","POINT(8.27360 47.41877)","0",NULL,NULL,"Mellingen","mellingen-ch-5507","de","0"
"91908","CH","5432","POINT(8.33185 47.44532)","0",NULL,NULL,"Neuenhof","neuenhof-ch-5432","de","0"
"91909","CH","5443","POINT(8.30538 47.42105)","0",NULL,NULL,"Niederrohrdorf","niederrohrdorf-ch-5443","de","0"
"91910","CH","5443","POINT(8.31288 47.41466)","0",NULL,NULL,"Vogelrüti","vogelrueti-ch-5443","de","0"
"91911","CH","5452","POINT(8.31642 47.41787)","0",NULL,NULL,"Oberrohrdorf","oberrohrdorf-ch-5452","de","0"
"91912","CH","5452","POINT(8.31469 47.42856)","0",NULL,NULL,"Staretschwil","staretschwil-ch-5452","de","0"
"91913","CH","5415","POINT(8.31174 47.48680)","0",NULL,NULL,"Hertenstein","hertenstein-ch-5415","de","0"
"91914","CH","5416","POINT(8.27544 47.49588)","0",NULL,NULL,"Kirchdorf","kirchdorf-ch-5416","de","0"
"91915","CH","5415","POINT(8.28725 47.48820)","0",NULL,NULL,"Nussbaumen","nussbaumen-ch-5415","de","0"
"91916","CH","5415","POINT(8.29585 47.48725)","0",NULL,NULL,"Obersiggenthal","obersiggenthal-ch-5415","de","0"
"91917","CH","5415","POINT(8.30177 47.48447)","0",NULL,NULL,"Rieden","rieden-ch-5415","de","0"
"91918","CH","5453","POINT(8.31664 47.40813)","0",NULL,NULL,"Busslingen","busslingen-ch-5453","de","0"
"91919","CH","5453","POINT(8.32666 47.40837)","0",NULL,NULL,"Remetschwil","remetschwil-ch-5453","de","0"
"91920","CH","8957","POINT(8.36615 47.41816)","0",NULL,NULL,"Spreitenbach","spreitenbach-ch-8957","de","0"
"91921","CH","5608","POINT(8.30700 47.40028)","0",NULL,NULL,"Stetten","stetten-ch-5608","de","0"
"91922","CH","5300","POINT(8.25170 47.49753)","0",NULL,NULL,"Ennetturgi","ennetturgi-ch-5300","de","0"
"91923","CH","5300","POINT(8.25365 47.49233)","0",NULL,NULL,"Turgi","turgi-ch-5300","de","0"
"91924","CH","5300","POINT(8.24008 47.49511)","0",NULL,NULL,"Vogelsang bei Turgi","vogelsang-bei-turgi-ch-5300","de","0"
"91925","CH","5300","POINT(8.26142 47.48851)","0",NULL,NULL,"Wil bei Turgi","wil-bei-turgi-ch-5300","de","0"
"91926","CH","5417","POINT(8.25575 47.50512)","0",NULL,NULL,"Obersiggingen","obersiggingen-ch-5417","de","0"
"91927","CH","5301","POINT(8.24292 47.52062)","0",NULL,NULL,"Siggenthal Station","siggenthal-station-ch-5301","de","0"
"91928","CH","5417","POINT(8.25342 47.50336)","0",NULL,NULL,"Untersiggenthal","untersiggenthal-ch-5417","de","0"
"91929","CH","5417","POINT(8.25714 47.49995)","0",NULL,NULL,"Untersiggingen","untersiggingen-ch-5417","de","0"
"91930","CH","5430","POINT(8.31549 47.46092)","0",NULL,NULL,"Wettingen","wettingen-ch-5430","de","0"
"91931","CH","5512","POINT(8.25890 47.41665)","0",NULL,NULL,"Büblikon","bueblikon-ch-5512","de","0"
"91932","CH","5512","POINT(8.25926 47.41153)","0",NULL,NULL,"Wohlenschwil","wohlenschwil-ch-5512","de","0"
"91933","CH","5303","POINT(8.25795 47.53093)","0",NULL,NULL,"Würenlingen","wuerenlingen-ch-5303","de","0"
"91934","CH","5436","POINT(8.37663 47.44883)","0",NULL,NULL,"Oetlikon","oetlikon-ch-5436","de","0"
"91935","CH","5436","POINT(8.36293 47.44193)","0",NULL,NULL,"Würenlos","wuerenlos-ch-5436","de","0"
