"id","name","french_name","norm_name","norm_french_name","country_code","postal_code","zone1","zone2","lat","lng","note","url_unique"
"127417","Au",,"au",,"DE","79280","0","0","47.95689","7.82978","0","-1"
"127418","Auggen",,"auggen",,"DE","79424","0","0","47.78709","7.59604","0","-1"
"127419","Bad Krozingen",,"bad-krozingen",,"DE","79189","0","0","47.91582","7.69985","0","-1"
"127420","Badenweiler",,"badenweiler",,"DE","79410","0","0","47.80178","7.67179","0","-1"
"127421","Ballrechten-Dottingen",,"ballrechten-dottingen",,"DE","79282","0","0","47.85688","7.69225","0","-1"
"127422","Bollschweil",,"bollschweil",,"DE","79283","0","0","47.92015","7.78645","0","-1"
"127423","Bötzingen",,"botzingen",,"DE","79268","0","0","48.07713","7.72564","0","-1"
"127424","Breisach am Rhein",,"breisach-am-rhein",,"DE","79206","0","0","48.02819","7.58273","0","-1"
"127425","Breitnau",,"breitnau",,"DE","79874","0","0","47.93963","8.08146","0","-1"
"127426","Buchenbach",,"buchenbach",,"DE","79256","0","0","47.96104","8.00938","0","-1"
"127427","Buggingen",,"buggingen",,"DE","79426","0","0","47.84825","7.63707","0","-1"
"127428","Ebringen",,"ebringen",,"DE","79285","0","0","47.95777","7.77832","0","-1"
"127429","Ehrenkirchen",,"ehrenkirchen",,"DE","79238","0","0","47.91736","7.74796","0","-1"
"127430","Eichstetten am Kaiserstuhl",,"eichstetten-am-kaiserstuhl",,"DE","79356","0","0","48.09345","7.74595","0","-1"
"127431","Eisenbach (Hochschwarzwald)",,"eisenbach-(hochschwarzwald)",,"DE","79871","0","0","47.96173","8.26981","0","-1"
"127432","Eschbach",,"eschbach",,"DE","79427","0","0","47.89015","7.65490","0","-1"
"127433","Feldberg (Schwarzwald)",,"feldberg-(schwarzwald)",,"DE","79868","0","0","47.85887","8.03704","0","-1"
"127434","Friedenweiler",,"friedenweiler",,"DE","79877","0","0","47.91716","8.25696","0","-1"
"127435","Glottertal",,"glottertal",,"DE","79286","0","0","48.05391","7.96236","0","-1"
"127436","Gottenheim",,"gottenheim",,"DE","79288","0","0","48.04907","7.72793","0","-1"
"127437","Gundelfingen",,"gundelfingen",,"DE","79194","0","0","48.04271","7.86635","0","-1"
"127438","Hartheim",,"hartheim",,"DE","79258","0","0","47.93667","7.62788","0","-1"
"127439","Heitersheim",,"heitersheim",,"DE","79423","0","0","47.87199","7.66027","0","-1"
"127440","Heuweiler",,"heuweiler",,"DE","79194","0","0","48.05193","7.90316","0","-1"
