"id","name","french_name","norm_name","norm_french_name","country_code","postal_code","zone1","zone2","lat","lng","note","url_unique"
"43049","Abejuela",,"abejuela",,"ES","04691","0","0","37.51116","-1.90991","0","-1"
"43050","Abla",,"abla",,"ES","04510","0","0","37.14114","-2.78010","0","-1"
"43051","Abla-Abrucena",,"abla-abrucena",,"ES","04533","0","0","37.25805","-2.27853","0","-1"
"43052","Abriojal",,"abriojal",,"ES","04260","0","0","36.95210","-2.46720","0","-1"
"43053","Abrucena",,"abrucena",,"ES","04520","0","0","37.13305","-2.79710","0","-1"
"43054","Adra",,"adra",,"ES","04770","0","0","36.74807","-3.02252","0","-1"
"43055","Aguadulce",,"aguadulce",,"ES","04720","0","0","36.81448","-2.57189","0","-1"
"43056","Aguamarga",,"aguamarga",,"ES","04149","0","0","37.35982","-2.30198","0","-1"
"43057","Alamos",,"alamos",,"ES","04811","0","0","37.54141","-2.33058","0","-1"
"43058","Alara",,"alara",,"ES","04830","0","0","37.67783","-2.06202","0","-1"
"43059","Albánchez",,"albanchez",,"ES","04857","0","0","37.28710","-2.18116","0","-1"
"43060","Albaricoques",,"albaricoques",,"ES","04116","0","0","36.84945","-2.12221","0","-1"
"43061","Albarracín",,"albarracin",,"ES","04279","0","0","36.86230","-2.44656","0","-1"
"43062","Albolodúy",,"alboloduy",,"ES","04531","0","0","37.03319","-2.62175","0","-1"
"43063","Albox",,"albox",,"ES","04692","0","0","37.48231","-2.05672","0","-1"
"43064","Alcaudique",,"alcaudique",,"ES","04769","0","0","36.83872","-2.93436","0","-1"
"43065","Alcolea",,"alcolea",,"ES","04480","0","0","36.97449","-2.96104","0","-1"
"43066","Alcoluches",,"alcoluches",,"ES","04830","0","0","37.60734","-2.19195","0","-1"
"43067","Alcóntar",,"alcontar",,"ES","04897","0","0","37.33585","-2.59694","0","-1"
"43068","Alcudia de Monteagud",,"alcudia-de-monteagud",,"ES","04276","0","0","37.23599","-2.26617","0","-1"
"43069","Aldeire",,"aldeire",,"ES","04897","0","0","37.30217","-2.57892","0","-1"
"43070","Alfaix",,"alfaix",,"ES","04288","0","0","37.14224","-1.96011","0","-1"
"43071","Algaida",,"algaida",,"ES","04742","0","0","36.77639","-2.62309","0","-1"
"43072","Alhabia",,"alhabia",,"ES","04567","0","0","36.98931","-2.58767","0","-1"
"43073","Alhama de Almería",,"alhama-de-almeria",,"ES","04400","0","0","36.95742","-2.57007","0","-1"
"43074","Alicún",,"alicun",,"ES","04409","0","0","36.96630","-2.60199","0","-1"
"43075","Aljarilla",,"aljarilla",,"ES","04618","0","0","37.24728","-1.87223","0","-1"
"43076","Aljariz",,"aljariz",,"ES","04629","0","0","37.25236","-1.93252","0","-1"
"43077","Almajalejo",,"almajalejo",,"ES","04650","0","0","37.38601","-1.99497","0","-1"
"43078","Almanzora",,"almanzora",,"ES","04815","0","0","37.35016","-2.13629","0","-1"
"43079","Almería",,"almeria",,"ES","04001","0","0","36.83792","-2.46474","0","-1"
"43080","Almerimar",,"almerimar",,"ES","04711","0","0","36.70090","-2.78924","0","-1"
"43081","Almocáizar",,"almocaizar",,"ES","04289","0","0","37.13582","-2.01093","0","-1"
"43082","Almócita",,"almocita",,"ES","04458","0","0","37.00236","-2.79007","0","-1"
"43083","Alparatas",,"alparatas",,"ES","04638","0","0","37.16366","-1.87255","0","-1"
"43084","Alsodux",,"alsodux",,"ES","04568","0","0","37.00200","-2.59458","0","-1"
"43085","Amarguilla",,"amarguilla",,"ES","04897","0","0","37.33352","-2.61318","0","-1"
"43086","Angosto de Abajo",,"angosto-de-abajo",,"ES","04897","0","0","37.33443","-2.58718","0","-1"
"43087","Angosto de Arriba",,"angosto-de-arriba",,"ES","04897","0","0","37.34001","-2.54875","0","-1"
"43088","Antas",,"antas",,"ES","04628","0","0","37.24516","-1.91754","0","-1"
"43089","Arboleas",,"arboleas",,"ES","04660","0","0","37.35025","-2.07487","0","-1"
"43090","Armuña de Almanzora",,"armuna-de-almanzora",,"ES","04888","0","0","37.34969","-2.41140","0","-1"
"43091","Arnilla",,"arnilla",,"ES","04619","0","0","37.31241","-1.82743","0","-1"
"43092","Arroyo de Verdelecho",,"arroyo-de-verdelecho",,"ES","04550","0","0","37.09089","-2.46084","0","-1"
"43093","Arroyo Medina",,"arroyo-medina",,"ES","04811","0","0","37.47308","-2.19719","0","-1"
"43094","Aspilla",,"aspilla",,"ES","04825","0","0","37.56701","-2.32751","0","-1"
"43095","Atochares",,"atochares",,"ES","04113","0","0","36.88067","-2.16045","0","-1"
"43096","Aulago",,"aulago",,"ES","04549","0","0","37.16014","-2.62686","0","-1"
"43097","Bacarés",,"bacares",,"ES","04889","0","0","37.26083","-2.45476","0","-1"
"43098","Balanegra",,"balanegra",,"ES","04713","0","0","36.75024","-2.90757","0","-1"
"43099","Balerma",,"balerma",,"ES","04712","0","0","36.73027","-2.88660","0","-1"
"43100","Bancalejo",,"bancalejo",,"ES","04828","0","0","37.54858","-2.12410","0","-1"
"43101","Barranco de los Lobos",,"barranco-de-los-lobos",,"ES","04279","0","0","37.08738","-2.17811","0","-1"
"43102","Barrio de Archilla",,"barrio-de-archilla",,"ES","04738","0","0","36.80988","-2.71149","0","-1"
"43103","Barrio Mortero",,"barrio-mortero",,"ES","04648","0","0","37.39861","-1.73723","0","-1"
"43104","Base Alvarez Sotomayor",,"base-alvarez-sotomayor",,"ES","04220","0","0","36.89780","-2.41000","0","-1"
"43105","Bayárcal",,"bayarcal",,"ES","04479","0","0","37.03116","-2.99647","0","-1"
"43106","Bayarque",,"bayarque",,"ES","04888","0","0","37.33091","-2.43566","0","-1"
"43107","Bédar",,"bedar",,"ES","04288","0","0","37.18964","-1.98190","0","-1"
"43108","Beires",,"beires",,"ES","04458","0","0","37.01200","-2.79093","0","-1"
"43109","Benahadux",,"benahadux",,"ES","04410","0","0","36.92586","-2.45568","0","-1"
"43110","Benecid",,"benecid",,"ES","04479","0","0","36.99020","-2.85916","0","-1"
"43111","Beneji",,"beneji",,"ES","04769","0","0","36.83446","-2.95410","0","-1"
"43112","Benimar",,"benimar",,"ES","04769","0","0","36.84730","-2.96993","0","-1"
"43113","Benitagla",,"benitagla",,"ES","04276","0","0","37.23124","-2.23911","0","-1"
"43114","Benitorafe",,"benitorafe",,"ES","04275","0","0","37.23904","-2.29025","0","-1"
"43115","Benizalón",,"benizalon",,"ES","04276","0","0","37.21175","-2.24168","0","-1"
"43116","Bentarique",,"bentarique",,"ES","04569","0","0","36.98652","-2.61942","0","-1"
"43117","Benzal",,"benzal",,"ES","04647","0","0","37.42177","-1.78138","0","-1"
"43118","Berja",,"berja",,"ES","04760","0","0","36.84644","-2.94943","0","-1"
"43119","Blanquez de Alcontar",,"blanquez-de-alcontar",,"ES","04897","0","0","37.27864","-2.63277","0","-1"
"43120","Boca de los Frailes",,"boca-de-los-frailes",,"ES","04117","0","0","36.80539","-2.13249","0","-1"
"43121","Breña",,"brena",,"ES","04217","0","0","37.24123","-2.12266","0","-1"
"43122","Burjulú",,"burjulu",,"ES","04618","0","0","37.27833","-1.81740","0","-1"
"43123","Cala Pañizo",,"cala-panizo",,"ES","04610","0","0","37.31895","-1.70173","0","-1"
"43124","Calabuche",,"calabuche",,"ES","04828","0","0","37.38177","-2.06141","0","-1"
"43125","Calguerin",,"calguerin",,"ES","04610","0","0","37.30648","-1.89383","0","-1"
"43126","Campamento",,"campamento",,"ES","04240","0","0","36.17327","-5.36915","0","-1"
"43127","Campico",,"campico",,"ES","04277","0","0","37.06558","-2.04288","0","-1"
"43128","Campillo",,"campillo",,"ES","04828","0","0","37.38177","-2.06141","0","-1"
"43129","Campohermoso",,"campohermoso",,"ES","04110","0","0","36.93589","-2.13144","0","-1"
"43130","Cañada Bastiana",,"canada-bastiana",,"ES","04738","0","0","36.80988","-2.71149","0","-1"
"43131","Canalica",,"canalica",,"ES","04829","0","0","37.58182","-2.04745","0","-1"
"43132","Canjáyar",,"canjayar",,"ES","04450","0","0","37.00973","-2.73968","0","-1"
"43133","Cantoria",,"cantoria",,"ES","04850","0","0","37.35259","-2.19363","0","-1"
"43134","Capairola",,"capairola",,"ES","04811","0","0","37.47745","-2.31020","0","-1"
"43135","Carboneras",,"carboneras",,"ES","04140","0","0","36.99659","-1.89501","0","-1"
"43136","Cariatiz",,"cariatiz",,"ES","04278","0","0","37.14615","-2.07563","0","-1"
"43137","Carrasco",,"carrasco",,"ES","04277","0","0","37.64736","-2.07387","0","-1"
"43138","Cartero",,"cartero",,"ES","04200","0","0","37.35502","-2.29589","0","-1"
"43139","Casablanca",,"casablanca",,"ES","04660","0","0","36.81242","-2.69593","0","-1"
"43140","Castala",,"castala",,"ES","04760","0","0","36.88771","-2.92575","0","-1"
"43141","Castro de Filabres",,"castro-de-filabres",,"ES","04212","0","0","37.18463","-2.43952","0","-1"
"43142","Cela",,"cela",,"ES","04887","0","0","37.37550","-2.44357","0","-1"
"43143","Celín",,"celin",,"ES","04750","0","0","36.83262","-2.86962","0","-1"
"43144","Chercos",,"chercos",,"ES","04859","0","0","37.26633","-2.25790","0","-1"
"43145","Chercos Nuevos",,"chercos-nuevos",,"ES","04859","0","0","37.35561","-2.20354","0","-1"
"43146","Chercos Viejos",,"chercos-viejos",,"ES","04859","0","0","37.35561","-2.20354","0","-1"
"43147","Chirán",,"chiran",,"ES","04769","0","0","36.89899","-2.93325","0","-1"
"43148","Chirivel",,"chirivel",,"ES","04825","0","0","37.59560","-2.26484","0","-1"
"43149","Cinta Blanca",,"cinta-blanca",,"ES","04270","0","0","37.35117","-2.07340","0","-1"
"43150","Cirera",,"cirera",,"ES","04610","0","0","37.29561","-1.88411","0","-1"
"43151","Cóbdar",,"cobdar",,"ES","04858","0","0","37.26199","-2.21022","0","-1"
"43152","Cocón del Peral",,"cocon-del-peral",,"ES","04275","0","0","37.14499","-2.30468","0","-1"
