"id","name","french_name","norm_name","norm_french_name","country_code","postal_code","zone1","zone2","lat","lng","note","url_unique"
"1","Bourg-en-Bresse",,"bourg-en-bresse",,"FR","01000","22","23","46.20483","5.22550","42333","1"
"2","Saint-Denis-lès-Bourg",,"saint-denis-les-bourg",,"FR","01000","22","23","46.20244","5.18994","5187","1"
"3","Montmerle-sur-Saône",,"montmerle-sur-saone",,"FR","01090","22","23","46.08075","4.75884","3786","1"
"4","Guéreins",,"guereins",,"FR","01090","22","23","46.10869","4.77970","1208","1"
"5","Francheleins",,"francheleins",,"FR","01090","22","23","46.07366","4.80869","1153","1"
"6","Montceaux",,"montceaux",,"FR","01090","22","23","46.09641","4.79657","1074","1"
"7","Genouilleux",,"genouilleux",,"FR","01090","22","23","46.11914","4.78628","550","1"
"8","Lurcy",,"lurcy",,"FR","01090","22","23","46.06351","4.78248","390","1"
"9","Oyonnax",,"oyonnax",,"FR","01100","22","23","46.25749","5.65584","24247","1"
"10","Bellignat",,"bellignat",,"FR","01100","22","23","46.24172","5.62807","3677","1"
"11","Arbent",,"arbent",,"FR","01100","22","23","46.29274","5.67720","3607","1"
"12","Martignat",,"martignat",,"FR","01100","22","23","46.20872","5.61005","1575","1"
"13","Apremont",,"apremont",,"FR","01100","22","23","46.20739","5.65818","1366","0"
"14","Groissiat",,"groissiat",,"FR","01100","22","23","46.22147","5.60736","1115","1"
"15","Géovreisset",,"geovreisset",,"FR","01100","22","23","46.25573","5.61716","901","1"
"16","Veyziat",,"veyziat",,"FR","01100","22","23","46.27170","5.62831","302","1"
"17","Hauteville-Lompnes",,"hauteville-lompnes",,"FR","01110","22","23","45.97661","5.60255","4259","1"
"18","Cormaranche-en-Bugey",,"cormaranche-en-bugey",,"FR","01110","22","23","45.95405","5.61253","902","1"
"19","Brénod",,"brenod",,"FR","01110","22","23","46.06079","5.60615","529","1"
"20","Champdor",,"champdor",,"FR","01110","22","23","46.01727","5.59713","451","1"
"21","Thézillieu",,"thezillieu",,"FR","01110","22","23","45.89358","5.59698","314","1"
"22","Aranc",,"aranc",,"FR","01110","22","23","46.00335","5.50856","298","1"
"23","Corcelles",,"corcelles",,"FR","01110","22","23","46.03636","5.57491","208","0"
"24","Corlier",,"corlier",,"FR","01110","22","23","46.03035","5.49864","110","1"
"25","Hostiaz",,"hostiaz",,"FR","01110","22","23","45.90220","5.53389","77","1"
"26","Prémillieu",,"premillieu",,"FR","01110","22","23","45.87409","5.57184","35","1"
"27","Montluel",,"montluel",,"FR","01120","22","23","45.85129","5.05587","6690","1"
"28","Dagneux",,"dagneux",,"FR","01120","22","23","45.85074","5.07529","3979","1"
"29","La Boisse",,"la-boisse",,"FR","01120","22","23","45.84162","5.03557","2814","1"
"30","Thil",,"thil",,"FR","01120","22","23","45.81449","5.02141","1642","0"
"31","Niévroz",,"nievroz",,"FR","01120","22","23","45.82628","5.06386","1500","1"
"32","Pizay",,"pizay",,"FR","01120","22","23","45.88990","5.09185","763","1"
"33","Sainte-Croix",,"sainte-croix",,"FR","01120","22","23","45.89370","5.05319","346","0"
"34","Cordieux",,"cordieux",,"FR","01120","22","23","45.85190","5.05780","133","1"
"35","Nantua",,"nantua",,"FR","01130","22","23","46.15177","5.60715","3840","0"
"36","Les Neyrolles",,"les-neyrolles",,"FR","01130","22","23","46.14008","5.63386","698","1"
"37","Saint-Germain-de-Joux",,"saint-germain-de-joux",,"FR","01130","22","23","46.17809","5.73842","511","1"
"38","Echallon",,"echallon",,"FR","01130","22","23","46.21443","5.73829","455","1"
"39","Le Poizat",,"le-poizat",,"FR","01130","22","23","46.14461","5.69557","413","1"
"40","Belleydoux",,"belleydoux",,"FR","01130","22","23","46.25311","5.77789","310","1"
"41","Charix",,"charix",,"FR","01130","22","23","46.18314","5.68500","304","1"
"42","Lalleyriat",,"lalleyriat",,"FR","01130","22","23","46.15334","5.71330","232","1"
"43","Giron",,"giron",,"FR","01130","22","23","46.22574","5.77366","137","1"
"44","Plagne",,"plagne",,"FR","01130","22","23","46.19142","5.72787","98","0"
"45","Saint-Didier-sur-Chalaronne",,"saint-didier-sur-chalaronne",,"FR","01140","22","23","46.17746","4.81689","2629","1"
"46","Thoissey",,"thoissey",,"FR","01140","22","23","46.17279","4.80343","1484","1"
"47","Mogneneins",,"mogneneins",,"FR","01140","22","23","46.14008","4.81128","672","1"
"48","Garnerans",,"garnerans",,"FR","01140","22","23","46.20603","4.84084","643","1"
"49","Illiat",,"illiat",,"FR","01140","22","23","46.18981","4.88835","535","1"
"50","Peyzieux-sur-Saône",,"peyzieux-sur-saone",,"FR","01140","22","23","46.12666","4.81639","356","1"
"51","Valeins",,"valeins",,"FR","01140","22","23","46.11202","4.87095","95","1"
"52","Saint-Etienne-sur-Chalaronne",,"saint-etienne-sur-chalaronne",,"FR","01140","22","23","46.14773","4.86589","48","1"
"53","Lagnieu",,"lagnieu",,"FR","01150","22","23","45.90381","5.34694","6780","1"
"54","Chazey-sur-Ain",,"chazey-sur-ain",,"FR","01150","22","23","45.89355","5.25425","1365","1"
"55","Leyment",,"leyment",,"FR","01150","22","23","45.92291","5.29612","1207","1"
"56","Vaux-en-Bugey",,"vaux-en-bugey",,"FR","01150","22","23","45.92837","5.35544","1117","1"
"57","Saint-Sorlin-en-Bugey",,"saint-sorlin-en-bugey",,"FR","01150","22","23","45.88358","5.37213","1114","1"
"58","Villebois",,"villebois",,"FR","01150","22","23","45.84896","5.43457","1104","1"
"59","Sault-Brénaz",,"sault-brenaz",,"FR","01150","22","23","45.85616","5.40696","1055","1"
"60","Blyes",,"blyes",,"FR","01150","22","23","45.84905","5.24842","935","1"
"61","Saint-Vulbas",,"saint-vulbas",,"FR","01150","22","23","45.83452","5.29176","889","1"
"62","Sainte-Julie",,"sainte-julie",,"FR","01150","22","23","45.89014","5.27759","796","1"
"63","Souclin",,"souclin",,"FR","01150","22","23","45.87660","5.41688","256","1"
"64","Pont-d'Ain",,"pont-d-ain",,"FR","01160","22","23","46.04905","5.33585","2532","1"
"65","Neuville-sur-Ain",,"neuville-sur-ain",,"FR","01160","22","23","46.08150","5.37130","1485","1"
"66","Priay",,"priay",,"FR","01160","22","23","46.00358","5.28802","1420","1"
"67","Druillat",,"druillat",,"FR","01160","22","23","46.05932","5.31728","1112","1"
"68","Varambon",,"varambon",,"FR","01160","22","23","46.04075","5.31712","552","1"
"69","La Tranclière",,"la-trancliere",,"FR","01160","22","23","46.11119","5.26115","312","1"
"70","Saint-Martin-du-Mont",,"saint-martin-du-mont",,"FR","01160","22","23","46.10216","5.32820","165","0"
"71","Gex",,"gex",,"FR","01170","22","23","46.33219","6.05790","9544","1"
"72","Cessy",,"cessy",,"FR","01170","22","23","46.31847","6.06874","3336","1"
"73","Crozet",,"crozet",,"FR","01170","22","23","46.28097","6.01291","1736","1"
"74","Ségny",,"segny",,"FR","01170","22","23","46.29756","6.07359","1561","1"
"75","Vesancy",,"vesancy",,"FR","01170","22","23","46.34753","6.08848","527","1"
"76","Mijoux",,"mijoux",,"FR","01170","22","23","46.36625","5.99627","386","0"
"77","Echenevex",,"echenevex",,"FR","01170","22","23","46.30915","6.03958","97","1"
"78","Chevry",,"chevry",,"FR","01170","22","23","46.28196","6.04243","78","0"
"79","Pont-de-Vaux",,"pont-de-vaux",,"FR","01190","22","23","46.43073","4.93780","2161","1"
"80","Saint-Etienne-sur-Reyssouze",,"saint-etienne-sur-reyssouze",,"FR","01190","22","23","46.41505","4.99831","1404","1"
"81","Saint-Bénigne",,"saint-benigne",,"FR","01190","22","23","46.43889","4.97160","1097","1"
"82","Reyssouze",,"reyssouze",,"FR","01190","22","23","46.43196","4.92023","871","1"
"83","Chevroux",,"chevroux",,"FR","01190","22","23","46.37901","4.94770","835","0"
"84","Gorrevod",,"gorrevod",,"FR","01190","22","23","46.42000","4.93892","670","1"
"85","Chavannes-sur-Reyssouze",,"chavannes-sur-reyssouze",,"FR","01190","22","23","46.42959","4.99119","664","1"
"86","Sermoyer",,"sermoyer",,"FR","01190","22","23","46.49707","4.97992","646","1"
"87","Ozan",,"ozan",,"FR","01190","22","23","46.39218","4.91519","515","1"
"88","Boz",,"boz",,"FR","01190","22","23","46.40703","4.91058","491","1"
"89","Arbigny",,"arbigny",,"FR","01190","22","23","46.47007","4.96254","360","1"
"90","Boissey",,"boissey",,"FR","01190","22","23","46.38131","4.99615","169","0"
"91","Bellegarde-sur-Valserine",,"bellegarde-sur-valserine",,"FR","01200","22","23","46.10784","5.82712","11821","1"
"92","Châtillon-en-Michaille",,"chatillon-en-michaille",,"FR","01200","22","23","46.14323","5.80010","3040","1"
"93","Lancrans",,"lancrans",,"FR","01200","22","23","46.12487","5.83477","1036","1"
"94","Injoux-Génissiat",,"injoux-genissiat",,"FR","01200","22","23","46.05810","5.77211","966","1"
"95","Eloise",,"eloise",,"FR","01200","22","23","46.08011","5.85980","964","1"
"96","Confort",,"confort",,"FR","01200","22","23","46.14996","5.82300","536","1"
"97","Léaz",,"leaz",,"FR","01200","22","23","46.09840","5.88404","509","1"
"98","Billiat",,"billiat",,"FR","01200","22","23","46.07758","5.78403","446","1"
"99","Chézery-Forens",,"chezery-forens",,"FR","01200","22","23","46.22241","5.86685","412","0"
"100","Villes",,"villes",,"FR","01200","22","23","46.08889","5.78506","348","1"
"101","Montanges",,"montanges",,"FR","01200","22","23","46.16560","5.80070","337","1"
"102","Ferney-Voltaire",,"ferney-voltaire",,"FR","01210","22","23","46.25677","6.10966","7891","1"
"103","Ornex",,"ornex",,"FR","01210","22","23","46.27228","6.09651","3168","1"
"104","Versonnex",,"versonnex",,"FR","01210","22","23","46.30374","6.09777","460","0"
"105","Divonne-les-Bains",,"divonne-les-bains",,"FR","01220","22","23","46.35744","6.14315","7606","1"
"106","Sauverny",,"sauverny",,"FR","01220","22","23","46.31565","6.11515","1164","0"
"107","Grilly",,"grilly",,"FR","01220","22","23","46.33030","6.11460","699","1"
"108","Saint-Rambert-en-Bugey",,"saint-rambert-en-bugey",,"FR","01230","22","23","45.94887","5.43968","2208","1"
"109","Tenay",,"tenay",,"FR","01230","22","23","45.91958","5.50819","1120","1"
"110","Torcieu",,"torcieu",,"FR","01230","22","23","45.92182","5.39529","670","1"
"111","Argis",,"argis",,"FR","01230","22","23","45.93380","5.49098","429","1"
"112","Evosges",,"evosges",,"FR","01230","22","23","45.96075","5.49985","193","1"
"113","Arandas",,"arandas",,"FR","01230","22","23","45.89571","5.48790","156","1"
"114","Cleyzieu",,"cleyzieu",,"FR","01230","22","23","45.90825","5.42834","137","1"
"115","Nivollet-Montgriffon",,"nivollet-montgriffon",,"FR","01230","22","23","46.00298","5.47261","129","1"
"116","Chaley",,"chaley",,"FR","01230","22","23","45.95504","5.53169","123","1"
"117","Conand",,"conand",,"FR","01230","22","23","45.89236","5.47256","106","1"
"118","Oncieu",,"oncieu",,"FR","01230","22","23","45.95963","5.47430","92","1"
"119","Certines",,"certines",,"FR","01240","22","23","46.13272","5.26460","1446","1"
"120","Saint-Paul-de-Varax",,"saint-paul-de-varax",,"FR","01240","22","23","46.09890","5.12897","1439","1"
"121","Dompierre-sur-Veyle",,"dompierre-sur-veyle",,"FR","01240","22","23","46.07221","5.20541","1171","1"
"122","Marlieux",,"marlieux",,"FR","01240","22","23","46.06505","5.07441","821","1"
"123","Saint-André-le-Bouchoux",,"saint-andre-le-bouchoux",,"FR","01240","22","23","46.11707","5.07867","308","1"
"124","La Chapelle-du-Châtelard",,"la-chapelle-du-chatelard",,"FR","01240","22","23","46.06921","5.02412","278","1"
"125","Saint-Germain-sur-Renon",,"saint-germain-sur-renon",,"FR","01240","22","23","46.08027","5.05652","245","1"
"126","Lent",,"lent",,"FR","01240","22","23","46.11977","5.19507","129","0"
"127","Ceyzériat",,"ceyzeriat",,"FR","01250","22","23","46.17776","5.32456","2641","1"
"128","Montagnat",,"montagnat",,"FR","01250","22","23","46.17105","5.28585","1600","1"
"129","Jasseron",,"jasseron",,"FR","01250","22","23","46.21233","5.32539","1403","1"
"130","Tossiat",,"tossiat",,"FR","01250","22","23","46.14097","5.31631","1361","1"
"131","Villereversure",,"villereversure",,"FR","01250","22","23","46.18532","5.38258","1287","1"
"132","Cize",,"cize",,"FR","01250","22","23","46.20478","5.44477","846","0"
"133","Bohas-Meyriat-Rignat",,"bohas-meyriat-rignat",,"FR","01250","22","23","46.14140","5.35602","829","1"
