"code","name","note","languages"
"AD","Andorre","0","ca"
"AT","Autriche","5","de"
"BA","Bosnie-Herzégovine","0","bs"
"BE","Belgique","19","nl,fr,de"
"BG","Bulgarie","0","bg"
"CH","Suisse","19","de,fr,it,rm"
"CY","Chypre","0",
"CZ","République Tchèque","0","cs"
"DE","Allemagne","18","de"
"DK","Danemark","0","da"
"EE","Estonie","0","et"
"ES","Espagne","18","es"
"FI","Finlande","0","fi,sv"
"FR","France","20","fr"
"GB","Royaume-Uni","10","en"
"GR","Grèce","0","el"
"HR","Croatie","0",
"HU","Hongrie","0","hu"
"IE","Irlande","0","ga"
"IS","Islande","0","is"
"IT","Italie","12","it"
"LI","Liechtenstein","0","de"
"LT","Lituanie","0","lt"
"LU","Luxembourg","18","lb,fr,de"
"LV","Lettonie","0","lt"
"MC","Monaco","0","fr"
"MD","Moldavie","0",
"ME","Monténegro","0",
"MK","Macédoine","0",
"MT","Malte","0","mt"
"NL","Pays-Bas","15","nl"
"NO","Norvège","0","no"
"PL","Pologne","0","pl"
"PT","Portugal","10","pt"
"RO","Roumanie","0","ro"
"RS","Serbie","0","sr"
"RU","Russie","0","ru"
"SE","Suède","0","sv"
"SI","Slovénie","0","sl"
"SK","Slovaquie","0","sk"
"SM","Saint-Marin","0","it"
"TR","Turquie","0",
"UA","Ukraine","0",
"VA","Vatican","0",
